State,Governor,Party,Speech
Alabama,Kay Ivey,Republican,"Lieutenant Governor Ainsworth, Pro Tempore Marsh, Speaker McCutcheon, Speaker Pro Tempore Gaston, members of the Alabama Legislature, Chief Justice Parker, justices of the Alabama Supreme Court, distinguished guests – and my fellow Alabamians:"
Alabama,Kay Ivey,Republican,"Just over 48 hours ago, Mother Nature’s wrath – in the form of vicious and deadly tornados – ripped through our state, leaving behind significant devastation."
Alabama,Kay Ivey,Republican,At least 23 innocent lives were lost.
Alabama,Kay Ivey,Republican,Young children who had barely experienced life.
Alabama,Kay Ivey,Republican,Mothers. Fathers. Friends and neighbors.
Alabama,Kay Ivey,Republican,"It is during times like these that we turn to the good Lord, asking for His continued comfort and healing hands."
Alabama,Kay Ivey,Republican,We also give special thanks for the emergency responders and local law enforcement.
Alabama,Kay Ivey,Republican,"Please join me as we observe a moment of silence to remember all those who passed away, as well as many others who were injured."
Alabama,Kay Ivey,Republican,"While there is always uncertainty in what tomorrow may bring, there is absolute certainty in the resiliency of the people of Alabama."
Alabama,Kay Ivey,Republican,"After all, we’ve done it before, and we will do it again."
Alabama,Kay Ivey,Republican,"This is a time for all of Alabama – and our entire nation – to rally behind these good people. Together, we will bring Lee County back to its feet!"
Alabama,Kay Ivey,Republican,"In our 200 years of statehood, the men and women of Alabama have always stepped forward when our nation called."
Alabama,Kay Ivey,Republican,"When our country needed defending, the legendary Tuskegee Airmen were born."
Alabama,Kay Ivey,Republican,"When our country was plagued with injustice, it was an Alabama woman that refused to give her seat up on a bus."
Alabama,Kay Ivey,Republican,"When our country sought to do the impossible and take man to the moon, it was Alabamians that built the rocket that successfully launched and returned them home."
Alabama,Kay Ivey,Republican,"The people of our state shaped the past. They are influencing the present, and without a doubt, they are at the forefront of defining our future."
Alabama,Kay Ivey,Republican,"Since this occasion last year, our story in Alabama has continued to evolve with one major accomplishment after another. At the same time, we are managing to fund state government, remaining conservative with the hard-earned dollars the men and women of this state send to us."
Alabama,Kay Ivey,Republican,"Ladies and gentlemen, this evening, I am proud to report that the state of our state is growing stronger each day. Our state’s recent history combined with the willing attitude I sense in the Chamber this evening, will aid in our quest to overcome our long-neglected issues and will help us achieve even greater prosperity for the entire state."
Alabama,Kay Ivey,Republican,"We will accomplish this together, because we are Alabama, and this is our time."
Alabama,Kay Ivey,Republican,Alabama’s economy is breaking records some thought we would never see.
Alabama,Kay Ivey,Republican,"In 2018, alone, Alabama achieved a historic total of $8.8 billion dollars in new capital investments, which created more than 17,000 new and future jobs for our people!"
Alabama,Kay Ivey,Republican,"Major technology companies like Amazon, Facebook, Google and Shipt are showing the rest of the country what it means to do business in our state."
Alabama,Kay Ivey,Republican,"Alabama is on track to be the number two auto-producing state in the nation, in less than five years. This is remarkable for a state that 25 years ago did not produce a single car, truck or SUV."
Alabama,Kay Ivey,Republican,"Our aerospace industry is, once again, redefining the futures of both our state and nation. With the recent groundbreaking for Airbus’s second assembly line, the City of Mobile is positioned to be one of the top four cities in the world for aerospace manufacturing. And up in Huntsville, construction began on Blue Origin’s $200 million-dollar rocket production facility, further solidifying Alabama’s critical role in putting the United States at the forefront of space exploration."
Alabama,Kay Ivey,Republican,"Now, just as Alabama has emerged as a powerhouse in the automotive and aerospace industries, our Department of Commerce, under the direction of Secretary Greg Canfield, is working hard to expand project activity in areas like technology, forestry and bioscience."
Alabama,Kay Ivey,Republican,"Members of the Legislature, companies from around the globe want to be part of the gold standard that is known by the “Made in Alabama” brand."
Alabama,Kay Ivey,Republican,And make no mistake. The upward trend in Alabama’s economy is a direct compliment to the men and women in Alabama’s workforce. These very men and women are regaining hope because of the good-paying jobs that are pouring into our state.
Alabama,Kay Ivey,Republican,"The Department of Labor, under the capable leadership of Secretary Fitzgerald Washington, is working hard to ensure we fulfill our vision of connecting every Alabamian who wants a job with a job."
Alabama,Kay Ivey,Republican,"Ladies and gentlemen, Alabama has seen a record-breaking year!"
Alabama,Kay Ivey,Republican,"Last year, we recorded the lowest unemployment rate in our history: 3.7 percent. That’s a record for our state."
Alabama,Kay Ivey,Republican,"In December 2018, Alabama reported having the most people working in our state’s history. That means 49,000 more Alabamians are working today than were a year ago. That’s a record for our state."
Alabama,Kay Ivey,Republican,"When economists predicted we would gain 27,000 jobs in 2018, in natural Alabama fashion, we exceeded that projection by supporting more than 44,000 additional jobs! That, too, is a record for our state!"
Alabama,Kay Ivey,Republican,"Even so, there are still some 80,000 Alabamians seeking employment opportunities. And to those across our state who are still searching, I urge you to not lose faith, because we are not going to rest on our efforts, and we will not leave you behind."
Alabama,Kay Ivey,Republican,"Regardless of their own individual situation, every Alabamian must be given an opportunity to provide for themselves and their family, enabling them to climb the ladder to success."
Alabama,Kay Ivey,Republican,"For us to better provide for all of our citizens, it is vitally important that Alabama has maximum participation in the upcoming 2020 Census. We will be launching the Alabama Counts campaign next month, with the goal simply being to secure much-needed federal funds for our state. At the same time, we are ensuring that our representation in Congress remains unchanged, guaranteeing Alabamians a strong voice for the next decade."
Alabama,Kay Ivey,Republican,"As you would expect, the hardworking men and women of Alabama will always come first in the Ivey Administration."
Alabama,Kay Ivey,Republican,"Under Republican leadership, over the past few years, the people of Alabama have experienced major gains. We have seen significant growth in our economy. We have cut taxes on middle-class families, and we are shrinking government."
Alabama,Kay Ivey,Republican,"Sometimes people forget that during the past few years, we have repealed more than 300 obsolete laws and regulations. And since 2010, we have reduced the number of state employees by more than 6,000 people. That means we are operating leaner, smarter and stronger."
Alabama,Kay Ivey,Republican,"And because of the approach taken by Republican leadership since 2010, Alabama has saved literally hundreds of millions of dollars!"
Alabama,Kay Ivey,Republican,"As we know, every dollar spent by the government belongs to the hardworking men and women of our state. Last year, I was very proud to sign into law the largest tax break for middle-class Alabamians in more than a decade! In turn, the total impact is projected to net $40 million dollars in savings for our taxpayers over the next decade. All of our efforts are centered on doing what is best and right for the people of our state – and that begins with protecting their hard-earned dollars whenever and however we can."
Alabama,Kay Ivey,Republican,"Doing what is best and right for our people also means giving every Alabamian the opportunity for a quality education. Through ‘Strong Start, Strong Finish’, we are making important strides to improve Alabama’s education system."
Alabama,Kay Ivey,Republican,"For a child to reach their fullest potential later in life, they must first build a strong educational foundation. Under the nationally-recognized leadership of Secretary Jeana Ross, the tremendous efforts of the Department of Early Childhood Education have enabled Alabama’s First Class Pre-K to be ranked as the nation’s highest quality program for the 12th consecutive year!"
Alabama,Kay Ivey,Republican,"Most importantly, our efforts are giving more of Alabama’s children a strong start."
Alabama,Kay Ivey,Republican,"Last year, we increased funding by $18.5 million dollars, which was the largest, single-year increase ever approved. And because of that historic investment, 107 new First Class Pre-K classrooms were added last fall, which led Alabama to officially break the 1,000-classroom mark."
Alabama,Kay Ivey,Republican,"Additionally, our P-3 pilot program aimed at building upon the gains made in Pre-K, grew by 75 classrooms this school year."
Alabama,Kay Ivey,Republican,"As we anticipate the rising demand of the computer science field, we are continuing our efforts to enhance computer science education in Alabama."
Alabama,Kay Ivey,Republican,"Last year, I signed legislation establishing the Alabama School of Cyber Technology and Engineering. We also secured additional funding to create the Alabama Math and Science Teacher Education Program, which provides a better pathway to certify future computer science teachers."
Alabama,Kay Ivey,Republican,"Today in Alabama, women and minorities make up well over half of the population. Yet, they are underrepresented in the STEM professions."
Alabama,Kay Ivey,Republican,"Tonight, I am pleased to have with us a young woman who is the face of changing this disparity, specifically in the area of computer science. Arrington Harper is currently a senior at the Alabama School of Fine Arts in Birmingham."
Alabama,Kay Ivey,Republican,"In her ninth-grade year, she had her very first computer science class."
